,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[168.785, 3.0, 153.635, 5.0, 155.529, 3.0, 166.891, 1.0]",32.539620385609965,24.46470062417046,28.808707772854618,47.504146504895125,33.40845603525883,27.533226714039863,27.30233299431557,24.669283151310132,32.0003290503474,26.842037917959594,30.038627247180774,25.481620336904232,33.285689394711994,24.4384654005297,29.633841285892704,26.7114802888831
"[168.785, 1.0, 153.635, 5.0, 155.529, 5.0, 166.891, 1.0]",18.548053129408746,19.35788307973203,19.91890445247949,14.713042407019268,18.74843695888046,16.039656431880253,17.18640631427585,17.118950717450783,16.851763343332763,19.654590921748973,18.154906721641645,18.74165435446556,16.906715582790046,48.27378634798934,16.944492174928122,17.48485416995102
"[168.785, 1.0, 153.635, 5.0, 155.529, 1.0, 166.891, 1.0]",52.621851246881185,18.726425564105092,16.364068586932728,15.653637059794244,22.663740585712997,14.089730373864784,19.731838022013765,14.247757591250847,19.339694413576865,16.738083476550994,15.069327067755365,20.11948101131973,17.61747239166843,16.80013779376953,16.162464338315967,19.064927697132163
"[168.785, 1.0, 153.635, 1.0, 155.529, 1.0, 166.891, 5.0]",17.65661280092996,21.36807633443098,15.977315971089693,48.39473850509565,19.8211182776814,19.704535463723865,17.12661994191417,21.611779751052094,16.606669080896324,17.535653679715285,14.132577491508169,16.09995592389164,17.006409406838017,16.322133218580923,14.384288561681549,19.30693519699175
"[168.785, 3.0, 153.635, 5.0, 155.529, 1.0, 166.891, 5.0]",25.769623976921842,21.129444430981657,48.595071563274914,25.051692014068493,25.053125324969066,25.833174460811282,23.898076176949445,26.981629348992247,27.428562042409585,20.58278485775968,26.09165809815606,23.34958187790163,22.106452717126125,18.997842815704864,22.337891794729607,19.645674774903476
"[168.785, 1.0, 153.635, 3.0, 155.529, 3.0, 166.891, 5.0]",32.87585419482991,31.825630301218055,30.589191845541567,32.343093039357996,31.78067697537792,30.31883259018856,29.870315739983575,31.47383950190309,27.02872804214887,48.195268431740104,22.303295933479045,24.847283963318496,26.708884628945945,24.540271375259145,26.713179063377876,26.459677551637423
"[168.785, 3.0, 153.635, 1.0, 155.529, 1.0, 166.891, 3.0]",52.08389576219327,31.993057504235747,27.054308300178512,24.873895911769928,26.10071953919165,21.55858103702923,30.10393502149276,26.499302166097376,32.610088659865575,27.808327560911625,27.481572955354075,26.81248952546983,25.363929264403367,28.391506900458246,23.425110137865428,29.380864722298163
"[0.0, 1.0, 0.0, 3.0, 0.0, 5.0, 0.0, 5.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 3.0, 153.635, 3.0, 155.529, 3.0, 166.891, 3.0]",42.324507486204595,42.61614326731227,41.12526264545878,43.81024865338863,42.13221669569729,42.723190439121566,42.8892223296788,42.766093150032965,42.5143140885012,54.22824876458904,40.41410720143544,43.671960725871116,41.697367928402876,41.778579080211706,41.259691443397244,43.23000520288684
"[168.785, 3.0, 153.635, 1.0, 155.529, 1.0, 166.891, 1.0]",23.791068208747628,21.812180573639676,18.94098176283596,23.043176555576984,26.876379351148508,22.936913829311766,24.360608408663644,24.891683940901107,22.832509378304128,18.64376089189088,21.584695503931727,22.75244338485348,23.84102487934642,22.398426263317415,46.812044410268214,22.749519196019676
